product_no,index,stock,price_change,color,size,other_option
5906,19,0,41900,A.BLUE,XL(105),
5906,20,0,41900,A.BLUE,2XL(110),
5906,21,0,41900,PINK,2XS(80),
5906,22,0,41900,PINK,XS(85),
5906,23,3,41900,PINK,S(90),
5906,24,0,41900,PINK,M(95),
5906,25,12,41900,PINK,L(100),
5906,26,0,41900,PINK,XL(105),
5906,27,0,41900,PINK,2XL(110),
5904,0,11,48900,ORANGE,2XS(80),
5904,1,17,48900,ORANGE,XS(85),
5904,2,14,48900,ORANGE,S(90),
5904,3,10,48900,ORANGE,M(95),
5904,4,9,48900,ORANGE,L(100),
5904,5,12,48900,ORANGE,XL(105),
5904,6,8,48900,ORANGE,2XL(110),
5904,7,7,48900,LIME,2XS(80),
5904,8,15,48900,LIME,XS(85),
5904,9,19,48900,LIME,S(90),
5904,10,6,48900,LIME,M(95),
5904,11,12,48900,LIME,L(100),
5904,12,10,48900,LIME,XL(105),
5904,13,4,48900,LIME,2XL(110),
5904,14,7,48900,A.BLUE,2XS(80),
5904,15,5,48900,A.BLUE,XS(85),
5904,16,18,48900,A.BLUE,S(90),
5904,17,9,48900,A.BLUE,M(95),
5904,18,9,48900,A.BLUE,L(100),
5904,19,14,48900,A.BLUE,XL(105),
5904,20,20,48900,A.BLUE,2XL(110),
5904,21,5,48900,WINE,2XS(80),
5904,22,13,48900,WINE,XS(85),
5904,23,1,48900,WINE,S(90),
5904,24,15,48900,WINE,M(95),
5904,25,16,48900,WINE,L(100),
5904,26,4,48900,WINE,XL(105),
5904,27,14,48900,WINE,2XL(110),
5902,0,9,58900,NAVY,2XS(80),
5902,1,5,58900,NAVY,XS(85),
5902,2,20,58900,NAVY,S(90),
5902,3,6,58900,NAVY,M(95),
5902,4,11,58900,NAVY,L(100),
5902,5,15,58900,NAVY,XL(105),
5902,6,11,58900,NAVY,2XL(110),
5902,7,11,58900,P.GREEN,2XS(80),
5902,8,20,58900,P.GREEN,XS(85),
5902,9,12,58900,P.GREEN,S(90),
5902,10,12,58900,P.GREEN,M(95),
5902,11,3,58900,P.GREEN,L(100),
5902,12,16,58900,P.GREEN,XL(105),
5902,13,13,58900,P.GREEN,2XL(110),
5902,14,9,58900,PINK,2XS(80),
5902,15,8,58900,PINK,XS(85),
5902,16,17,58900,PINK,S(90),
5902,17,14,58900,PINK,M(95),
5902,18,16,58900,PINK,L(100),
5902,19,20,58900,PINK,XL(105),
5902,20,16,58900,PINK,2XL(110),
5902,21,18,58900,A.BLUE,2XS(80),
5902,22,11,58900,A.BLUE,XS(85),
5902,23,17,58900,A.BLUE,S(90),
5902,24,1,58900,A.BLUE,M(95),
5902,25,18,58900,A.BLUE,L(100),
5902,26,1,58900,A.BLUE,XL(105),
5902,27,9,58900,A.BLUE,2XL(110),
5901,0,9,48900,PURPLE,2XS(80),
5901,1,8,48900,PURPLE,XS(85),
5901,2,13,48900,PURPLE,S(90),
5901,3,19,48900,PURPLE,M(95),
5901,4,12,48900,PURPLE,L(100),
5901,5,5,48900,PURPLE,XL(105),
5901,6,4,48900,PURPLE,2XL(110),
5901,7,3,48900,WINE,2XS(80),
5901,8,11,48900,WINE,XS(85),
5901,9,15,48900,WINE,S(90),
5901,10,6,48900,WINE,M(95),
5901,11,17,48900,WINE,L(100),
5901,12,7,48900,WINE,XL(105),
5901,13,15,48900,WINE,2XL(110),
5901,14,19,48900,NAVY,2XS(80),
5901,15,2,48900,NAVY,XS(85),
5901,16,12,48900,NAVY,S(90),
5901,17,17,48900,NAVY,M(95),
5901,18,6,48900,NAVY,L(100),
5901,19,16,48900,NAVY,XL(105),
5901,20,17,48900,NAVY,2XL(110),
6252,0,9,99000,네이비,230,
6252,1,4,99000,네이비,235,
6252,2,13,99000,네이비,240,
6252,3,12,99000,네이비,245,
6252,4,6,99000,네이비,250,
6252,5,11,99000,네이비,255,
6252,6,15,99000,네이비,260,
6252,7,12,99000,네이비,265,
6252,8,4,99000,네이비,270,
6252,9,7,99000,네이비,275,
6252,10,17,99000,네이비,280,
6252,11,4,99000,네이비,285,
6252,12,16,99000,네이비,290,
6252,13,13,99000,네이비,295,
6252,14,3,99000,네이비,300,
6252,15,4,99000,화이트,215,
6252,16,4,99000,화이트,220,
6252,17,1,99000,화이트,225,
6252,18,5,99000,화이트,230,
6252,19,16,99000,화이트,235,
6252,20,12,99000,화이트,240,
6252,21,13,99000,화이트,245,
6252,22,4,99000,화이트,250,
6252,23,2,99000,화이트,255,
6252,24,7,99000,화이트,260,
6252,25,2,99000,화이트,265,
6252,26,13,99000,화이트,270,
6252,27,13,99000,화이트,275,
6252,28,19,99000,화이트,280,
6252,29,2,99000,화이트,285,
6252,30,11,99000,화이트,290,
6252,31,19,99000,마젠타,230,
6252,32,4,99000,마젠타,235,
6252,33,1,99000,마젠타,240,
6252,34,15,99000,마젠타,245,
6252,35,11,99000,마젠타,250,
6252,36,13,99000,마젠타,255,
6252,37,1,99000,마젠타,260,
6252,38,11,99000,마젠타,265,
6252,39,3,99000,마젠타,270,
6252,40,19,99000,마젠타,275,
6252,41,3,99000,마젠타,280,
6252,42,4,99000,마젠타,285,
6252,43,6,99000,마젠타,290,
6023,0,6,99000,옐로우라임,230,
6023,1,2,99000,옐로우라임,235,
6023,2,10,99000,옐로우라임,240,
6023,3,9,99000,옐로우라임,245,
6023,4,12,99000,옐로우라임,250,
6023,5,10,99000,옐로우라임,255,
6023,6,1,99000,옐로우라임,260,
6023,7,9,99000,옐로우라임,265,
6023,8,7,99000,옐로우라임,270,
6023,9,7,99000,옐로우라임,275,
6023,10,8,99000,옐로우라임,280,
6023,11,12,99000,옐로우라임,285,
6023,12,9,99000,옐로우라임,290,
6022,0,5,99000,핑크,215,
6022,1,18,99000,핑크,220,
6022,2,7,99000,핑크,225,
6022,3,3,99000,핑크,230,
6022,4,5,99000,핑크,235,
6022,5,2,99000,핑크,240,
6022,6,17,99000,핑크,245,
6022,7,6,99000,핑크,250,
6021,0,18,99000,네이비레드,250,
6021,1,3,99000,네이비레드,255,
6021,2,14,99000,네이비레드,260,
6021,3,5,99000,네이비레드,265,
6021,4,19,99000,네이비레드,270,
